b	Npart	Ncoll
4.05265	329	1463
8.13105	169	526
7.64335	173	568
11.9992	42	53
2.92595	386	1566
12.1794	43	54
9.40666	100	219
8.38385	163	556
10.1465	93	242
13.9587	17	20
9.52981	120	311
2.49267	383	1806
4.42606	326	1389
12.2048	29	44
8.9281	132	374
16.8614	3	2
14.197	13	9
4.35495	318	1496
12.4544	28	33
7.80732	184	627
10.6534	87	206
13.5026	17	17
9.55952	126	356
10.7715	79	179
16.9621	5	4
11.353	45	71
11.7793	25	30
14.5828	5	4
10.5438	71	165
14.4084	5	3
8.41984	167	454
13.9182	6	4
13.1593	15	21
6.35342	230	916
8.63035	160	480
11.2177	57	85
15.332	4	3
6.24078	242	963
8.96713	131	453
8.83759	152	432
6.69341	213	827
7.24167	220	747
10.8374	87	165
6.43894	237	864
9.97045	109	186
15.7134	4	3
16.8508	2	1
8.41174	147	480
7.78236	213	604
8.88965	141	345
10.7112	75	181
8.32494	168	503
11.1208	60	115
11.3702	53	91
14.8019	2	1
12.8353	34	41
14.2945	8	8
6.23755	257	864
4.3573	333	1406
12.5545	23	26
10.9418	95	172
7.2348	191	647
15.3267	7	6
15.1233	3	2
10.8346	89	117
10.2453	106	170
9.85336	122	255
14.976	4	3
7.00849	209	710
6.74383	215	810
12.394	42	50
13.2442	12	10
13.3709	6	7
6.00481	251	967
8.00564	148	559
13.1009	27	25
10.1289	103	212
14.0065	13	11
11.5958	69	132
13.4167	8	7
10.1086	91	159
12.5641	22	21
9.14382	129	385
13.4343	9	6
11.1731	63	98
5.53651	280	1031
12.8059	24	27
3.07725	375	1604
14.4986	2	1
8.13762	177	457
11.4185	50	84
10.1473	105	207
10.7065	81	142
10.6063	93	191
5.14679	280	1174
9.597	130	282
2.05731	394	1844
11.4312	45	73
3.47199	359	1497
10.9331	87	134
12.7018	25	35
9.71239	112	300
13.7485	22	27
4.86453	318	1295
11.195	58	112
7.28393	209	769
12.9112	29	34
4.65799	313	1242
1.46763	400	2033
8.54469	159	401
11.9509	47	68
12.2567	56	82
7.05391	208	666
11.3837	34	48
7.87485	171	554
14.6886	12	10
12.7582	26	38
12.0025	38	60
7.1279	231	663
15.6417	2	1
15.083	9	8
10.1846	98	230
3.07825	371	1611
15.366	2	1
12.997	37	37
15.8466	4	3
4.97332	288	1156
6.44739	261	848
13.6139	27	35
13.198	15	21
12.1302	37	50
17.2032	2	1
14.4864	12	10
15.4207	2	1
11.6257	41	52
13.6381	6	6
